,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m
341,1852955345666104200-2406250211-13,26,Remagen|Oberwinter|Rolandseck|Bonn-Mehlem|Bonn-Bad Godesberg|Bonn UN Campus|Bonn Hbf|Roisdorf|Sechtem|Brühl|Hürth-Kalscheuren|Köln Süd,8003363,4,Köln West,Nordrhein-Westfalen,Köln,50672,6.934389,50.943665,2024-06-25 02:56:00,2024-06-25 02:56:00,2024-06-25 02:56:00,2024-06-25 02:56:00,0,0
342,-1354561819309488240-2406250138-4,26,Köln/Bonn Flughafen|Köln Messe/Deutz|Köln Hbf,8003363,4,Köln West,Nordrhein-Westfalen,Köln,50672,6.934389,50.943665,2024-06-25 02:01:00,2024-06-25 02:01:00,2024-06-25 02:01:00,2024-06-25 02:02:00,0,1
343,908067538504114665-2406250120-21,6,Düsseldorf-Rath Mitte|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Volksgarten|Düsseldorf-Oberbilk|Düsseldorf-Eller Süd|Düsseldorf-Reisholz|Düsseldorf-Benrath|Düsseldorf-Garath|Düsseldorf-Hellerhof|Langenfeld(Rhld)-Berghausen|Langenfeld(Rhld)|Leverkusen-Rheindorf|Leverkusen-Küppersteg|Leverkusen Mitte|Leverkusen Chempark|Köln-Stammheim|Köln-Mülheim,8003364,5,Köln-Buchforst,Nordrhein-Westfalen,Köln,51065,7.004327,50.953487,2024-06-25 02:16:00,2024-06-25 02:17:00,2024-06-25 02:19:00,2024-06-25 02:19:00,3,2
344,6086433097284689991-2406250153-6,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück|Köln-Holweide|Köln-Mülheim,8003364,5,Köln-Buchforst,Nordrhein-Westfalen,Köln,51065,7.004327,50.953487,2024-06-25 02:06:00,2024-06-25 02:07:00,2024-06-25 02:06:00,2024-06-25 02:07:00,0,0
345,6213600323571878720-2406250143-6,11,Dormagen|Dormagen Chempark|Köln-Worringen|Köln-Blumenberg|Köln-Chorweiler Nord,8003365,4,Köln-Chorweiler,Nordrhein-Westfalen,Köln,50769,6.897824,51.021126,2024-06-25 01:59:00,2024-06-25 02:00:00,2024-06-25 01:59:00,2024-06-25 02:00:00,0,0
346,4098935200730677239-2406250202-9,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:36:00,2024-06-25 02:37:00,2024-06-25 02:36:00,2024-06-25 02:37:00,0,0
347,-3510515903692492425-2406250146-10,19,Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark|Köln-Ehrenfeld|Köln Hansaring|Köln Hbf,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:12:00,2024-06-25 02:13:00,,,0,0
348,-3407935276655121808-2406250111-15,26,Remagen|Oberwinter|Rolandseck|Bonn-Mehlem|Bonn-Bad Godesberg|Bonn UN Campus|Bonn Hbf|Roisdorf|Sechtem|Brühl|Hürth-Kalscheuren|Köln Süd|Köln West|Köln Hbf,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:08:00,2024-06-25 02:10:00,2024-06-25 02:08:00,2024-06-25 02:11:00,0,1
349,4720559371039705295-2406250045-12,1,Dortmund Hbf|Bochum Hbf|Wattenscheid|Essen Hbf|Mülheim(Ruhr)Hbf|Duisburg Hbf|Düsseldorf Flughafen|Düsseldorf Hbf|Düsseldorf-Benrath|Leverkusen Mitte|Köln-Mülheim,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:07:00,2024-06-25 02:08:00,2024-06-25 02:09:00,2024-06-25 02:10:00,2,2
350,4720559371039705295-2406250045-14,1,Dortmund Hbf|Bochum Hbf|Wattenscheid|Essen Hbf|Mülheim(Ruhr)Hbf|Duisburg Hbf|Düsseldorf Flughafen|Düsseldorf Hbf|Düsseldorf-Benrath|Leverkusen Mitte|Köln-Mülheim|Köln Messe/Deutz|Köln Hbf,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:24:00,2024-06-25 02:25:00,2024-06-25 02:24:00,2024-06-25 02:25:00,0,0
