,eva_nr,name,category,state,city,zipcode,street,long,lat
1731,8011766,Großwudicke,7,Brandenburg,MilowerLandOTGroßwudicke,14715,Am Bahnhof 2,12.231128,52.590435
1732,8002435,Grub (Oberbay),5,Bayern,Poing,85586,Am Bahnhof,11.782559,48.164523
1733,8002436,Grub (Oberpf),7,Bayern,Waldmünchen (Grub),93449,Grub 17,12.681653,49.357856
1734,8002434,Grub am Forst,6,Bayern,Grub am Forst,96271,Bahnhofstr.,11.025858,50.227523
1735,8000138,Haan-Gruiten,4,Nordrhein-Westfalen,Haan-Gruiten,42781,Thunbuschstr. 20,7.010546,51.214559
1736,8011770,Grüna (Sachs),6,Sachsen,Chemnitz,09224,Poststr. 3,12.798514,50.811417
1737,8011771,Leipzig Grünauer Allee,6,Sachsen,Leipzig,04209,Am Übergang 1,12.303006,51.320905
1738,8002448,Grunbach,4,Baden-Württemberg,Remshalden,73630,Bahnhofstr.74,9.420029,48.81036
1739,8011773,Grünbach,7,Sachsen,Grünbach,08223,Bahnhofstr. 38c,12.372815,50.439895
1740,8002439,Grünberg (Oberhess),5,Hessen,Grünberg,35305,Bahnhofstr. 36,8.959931,50.596589
1741,8089016,Grünbergallee,5,Berlin,Berlin,12526,Grünbergallee,13.542485,52.399411
1742,8000495,Alfter-Impekoven,6,Nordrhein-Westfalen,Alfter,53347,Ahrweg,7.019831,50.711016
1743,8002441,Grünebach Ort,7,Rheinland-Pfalz,Grünebach,57520,Friedhofstr. 1,7.90235,50.777143
1744,8002442,Grünebacher Hütte,7,Rheinland-Pfalz,Grünebach,57520,Hauptstr. 160,7.891546,50.781656
1745,8011776,Grüneberg,6,Brandenburg,Löwenberger Land - Grüneb,16775,Straße zum Bahnhof,13.213023,52.8678
1746,8010150,Grunow (Niederlausitz),6,Brandenburg,Grunow/Dammendorf (Nieder,15299,Bahnhofstr. 12,14.378843,52.165074
1747,8002447,Grünsfeld,6,Baden-Württemberg,Grünsfeld,97947,Bahnhofsweg 1,9.745447,49.604933
1748,8000137,Grünstadt,4,Rheinland-Pfalz,Grünstadt,67269,Friedrich-Ebert-Str. 4,8.167962,49.564384
1749,8002444,Grünstadt Nord,6,Rheinland-Pfalz,Grünstadt,67269,Uhlandstr.,8.170781,49.573355
1750,8010357,Guben,5,Brandenburg,Guben,03172,Bahnhofstr. 9-10,14.706775,51.957203
1751,8002452,Güdingen,5,Saarland,Saarbrücken,66130,Im Rosengarten 1,7.030701,49.198242
1752,8002454,Koblenz-Güls,6,Rheinland-Pfalz,Koblenz-Güls,56072,Am Turnerheim,7.54900485,50.3408489
1753,8002462,Gummersbach,6,Nordrhein-Westfalen,Gummersbach,51643,Bahnhofstr. 12,7.56631,51.023632
1754,8002465,Gundelfingen,5,Baden-Württemberg,Gundelfingen,79194,Rosenstr. 18,7.874185,48.044025
1755,8002466,Gundelfingen (Bay),6,Bayern,Gundelfingen,89423,Bahnhofstr. 52,10.377186,48.548779
1756,8002467,Gundelsdorf,6,Bayern,Kronach,96317,Tunnelweg,11.301455,50.279917
1757,8002468,Gundelshausen,6,Bayern,Kelheim,93309,Gundelshausener Str.,12.003553,48.94488
1758,8002470,Gundelsheim (Neckar),6,Baden-Württemberg,Gundelsheim (Neckar),74831,Eisenbahnstr. 1,9.15787,49.282933
1759,8002473,Gundersheim (Rheinhess),6,Rheinland-Pfalz,Gundersheim ,67598,Bahnhofstr. 32,8.196596,49.690167
1760,8002457,Gündlkofen,6,Bayern,Bruckberg,84079,Hauptstr. 49,12.033642,48.526159
1761,8002474,Guntersblum,5,Rheinland-Pfalz,Guntersblum,67583,Wormserstr. 1,8.351257,49.79198
1762,8000140,Baunatal-Guntershausen,5,Hessen,Baunatal-Guntershausen,34225, Zum Bahnhof 1,9.466997,51.229917
1763,8002458,Günzach,6,Bayern,Günzach,87634,Bahnhofplatz 3,10.439565,47.819599
1764,8000139,Günzburg,3,Bayern,Günzburg,89312,Bahnhofplatz 5,10.2792621,48.4605626
