,stationID,stationCategory,names,state,city,postalCode,street,position_long,position_lat
3601,5277,CATEGORY_7,Rieschweiler,Rheinland-Pfalz,Rieschweiler-Mühlbach,66509,Bahnhofstr.,7.50761032,49.2449941
3602,5278,CATEGORY_6,Rieseby,Schleswig-Holstein,Rieseby,24354,Eckernförder Landstr.,9.820489,54.541358
3603,5279,CATEGORY_7,Rieste,Niedersachsen,Rieste,49597,Bahnhofstr.,8.010613,52.48472
3604,528,CATEGORY_1,Berlin Gesundbrunnen,Berlin,Berlin,13357,Badstr.,13.388513,52.548963
3605,5280,CATEGORY_6,Riestedt,Sachsen-Anhalt,Sangerhausen,06526,Bahnhofstr.,11.379856,51.484021
3606,5282,CATEGORY_6,Rietschen,Sachsen,Rietschen,02956,Bahnhofstraße,14.7839177,51.3986869
3607,5283,CATEGORY_6,Rimbach,Hessen,Rimbach,64668,Staatsstraße,8.757296,49.627348
3608,5285,CATEGORY_6,Ringleben-Gebesee,Thüringen,Ringleben-Gebesee,99189,Bahnhofstr.,10.957993,51.104096
3609,5286,CATEGORY_5,Ringsheim/Europa-Park,Baden-Württemberg,Ringsheim,77975,Bahnhofstr.,7.773037,48.248726
3610,5287,CATEGORY_6,Rinkerode,Nordrhein-Westfalen,Drensteinfurt-Rinkerode,48317,Am Bahnhof,7.689387,51.844383
3611,5288,CATEGORY_7,Rinnthal,Rheinland-Pfalz,Rinnthal,76857,Bahnhofstr.,7.927918,49.217075
3612,5289,CATEGORY_6,Rinteln,Niedersachsen,Rinteln,31737,Bahnhofsweg,9.077815,52.198936
3613,529,CATEGORY_4,Greifswalder Straße,Berlin,Berlin,10409,Greifswalder Str.,13.439561,52.54002
3614,5290,CATEGORY_6,Rippberg,Baden-Württemberg,Walldürn,74731,Bahnhofstraße,,
3615,5291,CATEGORY_5,Rissen,Hamburg,Hamburg,22559,Am Rissener Bahnhof,9.757057,53.583216
3616,5292,CATEGORY_6,Ritschenhausen,Thüringen,Ritschenhausen,98617,Bahnhofstr.,10.429506,50.512863
3617,5293,CATEGORY_6,Ritterhude,Niedersachsen,Ritterhude,27721,Bahnhofstr.,8.753889,53.183633
3618,5296,CATEGORY_5,Röblingen am See,Sachsen-Anhalt,Röblingen am See,06317,Am Bahnhof,11.668535,51.462603
3619,53,CATEGORY_3,Alexanderplatz,Berlin,Berlin,10179,Dircksenstr.,13.410961,52.521481
3620,530,CATEGORY_1,Berlin Ostbahnhof,Berlin,Berlin,10243,Koppenstr.,13.4346807,52.5104881
3621,5301,CATEGORY_5,Rockenhausen,Rheinland-Pfalz,Rockenhausen,67806,Bahnhofstr.,7.81727,49.628385
3622,5302,CATEGORY_6,Bad Rodach (b Coburg),Bayern,Rodach (b Coburg),96476,Heldburger Str.,10.778387,50.336986
3623,5303,CATEGORY_6,Rodalben,Rheinland-Pfalz,Rodalben,66976,Bahnhofstr.,7.63276756,49.2389492
3624,5304,CATEGORY_6,Rodenbach (Dillkr),Hessen,Haiger,35708,Zum Tiergarten,8.205263,50.773991
3625,5305,CATEGORY_5,Rodenbach bei Hanau,Hessen,Rodenbach,63517,Hainbornstraße,9.01256,50.147267
3626,5306,CATEGORY_6,Rodenkirchen (Oldb),Niedersachsen,Stadland,26935,Am Markt,8.454794,53.399841
3627,5307,CATEGORY_6,Rödental,Bayern,Rödental,96472,Bahnhofsplatz,11.031308,50.288366
3628,5309,CATEGORY_6,Rodewisch,Sachsen,Rodewisch,08228,Bahnhofstr.,12.395337,50.528653
3629,5311,CATEGORY_7,Rodheim v d Höhe,Hessen,Rosbach v d Höhe,61191,Hauptstr.,8.695803,50.267604
3630,5312,CATEGORY_6,Roding,Bayern,Roding,93426,Am Bahnhof,12.51574,49.21448
3631,5313,CATEGORY_6,Rodleben,Sachsen-Anhalt,Dessau-Roßlau,06861,Zerbster Str.,12.21729,51.897486
3632,5314,CATEGORY_7,Rödlitz-Hohndorf,Sachsen,Lichtenstein (Sachsen),09350,Bahnhofstr.,12.654033,50.742252
3633,5315,CATEGORY_7,Roggentin,Mecklenburg-Vorpommern,Roggentin,18184,Klösterbecker Straßen,12.213086,54.073494
3634,5317,CATEGORY_7,Rohr (Thür),Thüringen,Rohr,98530,Am Bahnhof,10.515839,50.571588
3635,5318,CATEGORY_6,Rohrbach (Oberbay),Bayern,Erharting,84513,Rohrbach,,
3636,5319,CATEGORY_5,Rohrbach (Saar),Saarland,St. Ingbert,66386,Bahnhofstr.,7.157395,49.276737
3637,532,CATEGORY_4,Berlin-Nordbahnhof,Berlin,Berlin,10115,Invalidenstr.,13.388464,52.532066
3638,5320,CATEGORY_6,Rohrbach (Pfalz),Rheinland-Pfalz,Rohrbach,76865,Jahnstr.,8.14152,49.138017
3639,5321,CATEGORY_6,Rohrenfeld,Bayern,Neuburg a.d.Donau,86633,Rohrenfeld,11.2586737,48.7213108
3640,5322,CATEGORY_6,Melsungen-Röhrenfurth,Hessen,Melsungen-Röhrenfurth,34212,Unterdorf,9.548372,51.154377
3641,5323,CATEGORY_5,Röhrmoos,Bayern,Röhrmoos,85244,Bahnhofstr.,11.44477,48.333318
3642,5325,CATEGORY_6,Roigheim,Baden-Württemberg,Roigheim,74255,Bahnhofstraße,9.341831,49.360833
3643,5326,CATEGORY_5,Roisdorf,Nordrhein-Westfalen,Bornheim,53332,Bonner Str.,7.01614,50.753181
3644,5327,CATEGORY_6,Roitzsch (Kr Bitterfeld),Sachsen-Anhalt,Roitzsch,06809,Bahnhofstr.,12.2631884,51.5706549
3645,5328,CATEGORY_6,Rolandseck,Rheinland-Pfalz,Remagen,53424,Freiligrahtstr.,7.206835,50.63138
3646,5329,CATEGORY_7,Rollhofen,Bayern,Neunkirchen am Sand,91233,Brückenstr.,11.335524,49.543716
3647,533,CATEGORY_2,Berlin Zoologischer Garten,Berlin,Berlin,10623,Hardenbergplatz,13.3324447,52.5073407
3648,5330,CATEGORY_6,Rodgau-Rollwald,Hessen,Rodgau-Rollwald,63110,Ober-Rodener Straße,8.846545,49.987985
3649,5333,CATEGORY_4,Rommelshausen,Baden-Württemberg,Kernen,71394,Waiblinger Strasse,9.319344,48.81554
3650,5334,CATEGORY_5,Rommerskirchen,Nordrhein-Westfalen,Rommerskirchen,41569,Bahnhofsvorplatz,6.69959,51.039933
3651,5335,CATEGORY_5,Köln-Müngersdorf Technologiepark,Nordrhein-Westfalen,Köln,50829,Vitalisstr.,6.888201,50.948394
3652,5336,CATEGORY_6,Ronneburg (Thür),Thüringen,Ronneburg (Thür),07580,Bahnhofstr.,12.18172,50.859555
3653,5337,CATEGORY_5,Ronnenberg (Han),Niedersachsen,Ronnenberg  ,30952,Benther Str.,9.651786,52.323073
3654,5338,CATEGORY_6,Ronshausen,Hessen,Ronshausen,36217,Hersfelder Str.,9.854425,50.946016
3655,5339,CATEGORY_7,Rönshausen,Hessen,Eichenzell,36124,Rönshausener Straße 31 b,9.74373,50.478451
3656,534,CATEGORY_4,Berlin-Adlershof,Berlin,Berlin,12489,Adlergestell,13.541129,52.435031
3657,5340,CATEGORY_5,Röntgental,Brandenburg,Panketal,16341,Kastanienallee,13.513799,52.648798
3658,5341,CATEGORY_5,Rosbach (Sieg),Nordrhein-Westfalen,Windeck,51570,Marktstr.,7.608767,50.796768
